protocol,velocity_mps,seed_offset,pdr
PhysaRoute,3.0,0,0.9358975641139906
PhysaRoute,3.0,1,0.9363366611070073
PhysaRoute,3.0,2,0.9311468140371763
PhysaRoute,3.0,3,0.929140000869054
PhysaRoute,3.0,4,0.9205536325912941
PhysaRoute,3.0,5,0.9226125252668423
PhysaRoute,3.0,6,0.9275968445134296
PhysaRoute,3.0,7,0.9308694932679229
PhysaRoute,3.0,8,0.9387880873824247
PhysaRoute,3.0,9,0.9174261790893364
PhysaRoute,3.0,10,0.9077712651848925
PhysaRoute,3.0,11,0.914759284321359
PhysaRoute,3.0,12,0.9305121055879338
PhysaRoute,3.0,13,0.915283507462915
PhysaRoute,3.0,14,0.9425940464624493
PhysaRoute,3.0,15,0.9480048920057249
PhysaRoute,3.0,16,0.9301707890728251
PhysaRoute,3.0,17,0.9365054592269845
PhysaRoute,3.0,18,0.9250039941494717
PhysaRoute,3.0,19,0.9195942603162531
PhysaRoute,3.0,20,0.9345200574761587
PhysaRoute,3.0,21,0.9257659319645076
PhysaRoute,3.0,22,0.93763174287523
PhysaRoute,3.0,23,0.942839600663039
PhysaRoute,3.0,24,0.9184324286454814
PhysaRoute,3.0,25,0.9230143207237161
PhysaRoute,3.0,26,0.9205307568913753
PhysaRoute,3.0,27,0.9374143830733116
PhysaRoute,3.0,28,0.9199585125442232
PhysaRoute,3.0,29,0.9322089513840385
RL-WBAN,3.0,0,0.8886891169722211
RL-WBAN,3.0,1,0.8902889439036883
RL-WBAN,3.0,2,0.8978939078061232
RL-WBAN,3.0,3,0.9093519675730518
RL-WBAN,3.0,4,0.8993183366368774
RL-WBAN,3.0,5,0.8797351078543245
RL-WBAN,3.0,6,0.8934421721784135
RL-WBAN,3.0,7,0.9041759416085741
RL-WBAN,3.0,8,0.8873801748316771
RL-WBAN,3.0,9,0.9089311326972256
RL-WBAN,3.0,10,0.9065669111429759
RL-WBAN,3.0,11,0.9000424168419691
RL-WBAN,3.0,12,0.9038916849624847
RL-WBAN,3.0,13,0.8949385309782295
RL-WBAN,3.0,14,0.8980685661836225
RL-WBAN,3.0,15,0.9018368583299254
RL-WBAN,3.0,16,0.8998943754875072
RL-WBAN,3.0,17,0.9197606203846227
RL-WBAN,3.0,18,0.9072462066377316
RL-WBAN,3.0,19,0.9101966541897045
RL-WBAN,3.0,20,0.8927182154943166
RL-WBAN,3.0,21,0.8909465197808975
RL-WBAN,3.0,22,0.8882486235002505
RL-WBAN,3.0,23,0.8915330086418496
RL-WBAN,3.0,24,0.9196385588331084
RL-WBAN,3.0,25,0.8755809686454429
RL-WBAN,3.0,26,0.8946871226401287
RL-WBAN,3.0,27,0.8840403495368891
RL-WBAN,3.0,28,0.8955420484656665
RL-WBAN,3.0,29,0.9162159751624437
PZ-2021,3.0,0,0.8799658347598153
PZ-2021,3.0,1,0.8781594692808602
PZ-2021,3.0,2,0.8755361027605978
PZ-2021,3.0,3,0.8923086934203122
PZ-2021,3.0,4,0.8761033375563481
PZ-2021,3.0,5,0.8798946923745621
PZ-2021,3.0,6,0.8800198329501392
PZ-2021,3.0,7,0.8838776260222626
PZ-2021,3.0,8,0.8735923321159559
PZ-2021,3.0,9,0.8747934142586852
PZ-2021,3.0,10,0.8848197529720313
PZ-2021,3.0,11,0.8753883797176542
PZ-2021,3.0,12,0.8724258205993443
PZ-2021,3.0,13,0.8786218096403351
PZ-2021,3.0,14,0.8893980081673003
PZ-2021,3.0,15,0.8751407140977386
PZ-2021,3.0,16,0.8751941518943415
PZ-2021,3.0,17,0.8777744640980687
PZ-2021,3.0,18,0.877950296740766
PZ-2021,3.0,19,0.896164198121403
PZ-2021,3.0,20,0.8722070746642049
PZ-2021,3.0,21,0.8816261739804153
PZ-2021,3.0,22,0.8516302864057571
PZ-2021,3.0,23,0.8609506975140427
PZ-2021,3.0,24,0.8678209897015675
PZ-2021,3.0,25,0.8807559461738045
PZ-2021,3.0,26,0.8936900673437127
PZ-2021,3.0,27,0.875917644180142
PZ-2021,3.0,28,0.8766264284722964
PZ-2021,3.0,29,0.8828911222203984
DARE-IoT,3.0,0,0.8812866555924981
DARE-IoT,3.0,1,0.8696581530380901
DARE-IoT,3.0,2,0.8704938595845171
DARE-IoT,3.0,3,0.865611223092333
DARE-IoT,3.0,4,0.8693104367434246
DARE-IoT,3.0,5,0.8479095299026935
DARE-IoT,3.0,6,0.8594933615635111
DARE-IoT,3.0,7,0.8725321343199796
DARE-IoT,3.0,8,0.867608244586502
DARE-IoT,3.0,9,0.8797024495238648
DARE-IoT,3.0,10,0.8727271226947774
DARE-IoT,3.0,11,0.8733970557921332
DARE-IoT,3.0,12,0.8715364478341566
DARE-IoT,3.0,13,0.8690361037069317
DARE-IoT,3.0,14,0.8791799464883595
DARE-IoT,3.0,15,0.8721375968833358
DARE-IoT,3.0,16,0.8664936308694902
DARE-IoT,3.0,17,0.8532838329320955
DARE-IoT,3.0,18,0.8634732057307756
DARE-IoT,3.0,19,0.8573263856654144
DARE-IoT,3.0,20,0.8630584254419914
DARE-IoT,3.0,21,0.8557014445395986
DARE-IoT,3.0,22,0.8697190245224415
DARE-IoT,3.0,23,0.8801145745230226
DARE-IoT,3.0,24,0.8883561314692863
DARE-IoT,3.0,25,0.8846782786145618
DARE-IoT,3.0,26,0.8606480521930912
DARE-IoT,3.0,27,0.8713345558884297
DARE-IoT,3.0,28,0.8561681063093578
DARE-IoT,3.0,29,0.8850755912161721
PSO-Energy,3.0,0,0.8463958768033266
PSO-Energy,3.0,1,0.8295060902724937
PSO-Energy,3.0,2,0.8525382756773855
PSO-Energy,3.0,3,0.8551403893837196
PSO-Energy,3.0,4,0.8392198856550164
PSO-Energy,3.0,5,0.8737251350614036
PSO-Energy,3.0,6,0.8505009069043717
PSO-Energy,3.0,7,0.8319301499308988
PSO-Energy,3.0,8,0.8616092581351393
PSO-Energy,3.0,9,0.8371326739240208
PSO-Energy,3.0,10,0.8385211468842695
PSO-Energy,3.0,11,0.8465170786270012
PSO-Energy,3.0,12,0.8431048531175679
PSO-Energy,3.0,13,0.8651643057715505
PSO-Energy,3.0,14,0.8597484762763267
PSO-Energy,3.0,15,0.8449212525805623
PSO-Energy,3.0,16,0.8434312073467634
PSO-Energy,3.0,17,0.8525818502246192
PSO-Energy,3.0,18,0.8593297809279177
PSO-Energy,3.0,19,0.8429251203830707
PSO-Energy,3.0,20,0.843619863597953
PSO-Energy,3.0,21,0.8438382361242264
PSO-Energy,3.0,22,0.8416195812302638
PSO-Energy,3.0,23,0.8516214282893614
PSO-Energy,3.0,24,0.8400791011912275
PSO-Energy,3.0,25,0.8287224760041741
PSO-Energy,3.0,26,0.8418239693293988
PSO-Energy,3.0,27,0.8455606495602701
PSO-Energy,3.0,28,0.8358470144958955
PSO-Energy,3.0,29,0.8337869313069854
GWO-WBAN,3.0,0,0.8123470991688055
GWO-WBAN,3.0,1,0.8084345444170504
GWO-WBAN,3.0,2,0.8175635467822491
GWO-WBAN,3.0,3,0.8180072470287443
GWO-WBAN,3.0,4,0.8209822135163792
GWO-WBAN,3.0,5,0.8289348635059461
GWO-WBAN,3.0,6,0.8164703117399936
GWO-WBAN,3.0,7,0.8303897086342612
GWO-WBAN,3.0,8,0.8219794605970583
GWO-WBAN,3.0,9,0.819110774118335
GWO-WBAN,3.0,10,0.7982170670760833
GWO-WBAN,3.0,11,0.8197202910727734
GWO-WBAN,3.0,12,0.8148461082555801
GWO-WBAN,3.0,13,0.7988506143635105
GWO-WBAN,3.0,14,0.832883386489046
GWO-WBAN,3.0,15,0.8070935203397545
GWO-WBAN,3.0,16,0.8235493550350798
GWO-WBAN,3.0,17,0.8215264002124745
GWO-WBAN,3.0,18,0.8101143648344058
GWO-WBAN,3.0,19,0.816133879246491
GWO-WBAN,3.0,20,0.8028037254424694
GWO-WBAN,3.0,21,0.8313005568598933
GWO-WBAN,3.0,22,0.8115212917025898
GWO-WBAN,3.0,23,0.8211546512622182
GWO-WBAN,3.0,24,0.8177080725664431
GWO-WBAN,3.0,25,0.8089030804987698
GWO-WBAN,3.0,26,0.8072035629898859
GWO-WBAN,3.0,27,0.8273778484485771
GWO-WBAN,3.0,28,0.8281924491307973
GWO-WBAN,3.0,29,0.8277299506615369
ACO-WBAN,3.0,0,0.8024694926540135
ACO-WBAN,3.0,1,0.8178192780974068
ACO-WBAN,3.0,2,0.8089746035240518
ACO-WBAN,3.0,3,0.8161306552064275
ACO-WBAN,3.0,4,0.809785577912782
ACO-WBAN,3.0,5,0.8005868474921949
ACO-WBAN,3.0,6,0.8048197288544542
ACO-WBAN,3.0,7,0.8009536574709561
ACO-WBAN,3.0,8,0.8041073392482377
ACO-WBAN,3.0,9,0.8246667305997875
ACO-WBAN,3.0,10,0.8178996964070882
ACO-WBAN,3.0,11,0.8074201499070703
ACO-WBAN,3.0,12,0.8240047464552593
ACO-WBAN,3.0,13,0.7994974152668981
ACO-WBAN,3.0,14,0.7922912588217399
ACO-WBAN,3.0,15,0.8172613528296225
ACO-WBAN,3.0,16,0.8186178367677505
ACO-WBAN,3.0,17,0.8297910808501583
ACO-WBAN,3.0,18,0.7983559691121243
ACO-WBAN,3.0,19,0.800952736356588
ACO-WBAN,3.0,20,0.7875523357023654
ACO-WBAN,3.0,21,0.8237025610067927
ACO-WBAN,3.0,22,0.7974366959187477
ACO-WBAN,3.0,23,0.8055021502268299
ACO-WBAN,3.0,24,0.7985870942033758
ACO-WBAN,3.0,25,0.8319078539478293
ACO-WBAN,3.0,26,0.8026989494864469
ACO-WBAN,3.0,27,0.831071833886728
ACO-WBAN,3.0,28,0.8086839921223455
ACO-WBAN,3.0,29,0.8210930843941651
M-ATTEMPT,3.0,0,0.7501523086846739
M-ATTEMPT,3.0,1,0.7427598308600594
M-ATTEMPT,3.0,2,0.7561266463573459
M-ATTEMPT,3.0,3,0.7468715279665461
M-ATTEMPT,3.0,4,0.7426735541918663
M-ATTEMPT,3.0,5,0.7495597290121004
M-ATTEMPT,3.0,6,0.729048263207362
M-ATTEMPT,3.0,7,0.7520388076032655
M-ATTEMPT,3.0,8,0.7515673431343401
M-ATTEMPT,3.0,9,0.7407967354642118
M-ATTEMPT,3.0,10,0.7377494042966306
M-ATTEMPT,3.0,11,0.751269130034804
M-ATTEMPT,3.0,12,0.7373505998625974
M-ATTEMPT,3.0,13,0.7325755751653678
M-ATTEMPT,3.0,14,0.7492374173160374
M-ATTEMPT,3.0,15,0.7587400681864513
M-ATTEMPT,3.0,16,0.7318205494716966
M-ATTEMPT,3.0,17,0.7527983148829741
M-ATTEMPT,3.0,18,0.7509029684583095
M-ATTEMPT,3.0,19,0.767778817487804
M-ATTEMPT,3.0,20,0.7385886561111512
M-ATTEMPT,3.0,21,0.7486012921902542
M-ATTEMPT,3.0,22,0.7450634593459956
M-ATTEMPT,3.0,23,0.7430977677650362
M-ATTEMPT,3.0,24,0.7633448630156267
M-ATTEMPT,3.0,25,0.7474997433041483
M-ATTEMPT,3.0,26,0.7567514388690134
M-ATTEMPT,3.0,27,0.7390805033831672
M-ATTEMPT,3.0,28,0.7560583362266488
M-ATTEMPT,3.0,29,0.7668034589532933
AODV,3.0,0,0.646131110961517
AODV,3.0,1,0.6491331114159243
AODV,3.0,2,0.6483789388738624
AODV,3.0,3,0.6658604416328717
AODV,3.0,4,0.6407659588571933
AODV,3.0,5,0.6607897596040331
AODV,3.0,6,0.6405905238627143
AODV,3.0,7,0.6445541639080208
AODV,3.0,8,0.6376640462058286
AODV,3.0,9,0.6500176304429809
AODV,3.0,10,0.6666066108368678
AODV,3.0,11,0.6600866352657707
AODV,3.0,12,0.6640681616644267
AODV,3.0,13,0.6593746954467586
AODV,3.0,14,0.6476618804074279
AODV,3.0,15,0.6643190999896488
AODV,3.0,16,0.6290174549499224
AODV,3.0,17,0.6308795863431953
AODV,3.0,18,0.6550831093446099
AODV,3.0,19,0.6697125140199114
AODV,3.0,20,0.6548803186364971
AODV,3.0,21,0.6488943822794292
AODV,3.0,22,0.6459147569562804
AODV,3.0,23,0.6539347482494732
AODV,3.0,24,0.6437330815115766
AODV,3.0,25,0.6595937857156619
AODV,3.0,26,0.6384662960568701
AODV,3.0,27,0.6572838951823005
AODV,3.0,28,0.6533294834897799
AODV,3.0,29,0.647388612271964
PhysaRoute,3.5,0,0.8998885026891134
PhysaRoute,3.5,1,0.9229795580077486
PhysaRoute,3.5,2,0.9283208498420984
PhysaRoute,3.5,3,0.9154287843604488
PhysaRoute,3.5,4,0.9246526318658744
PhysaRoute,3.5,5,0.9074783131073296
PhysaRoute,3.5,6,0.9145699808686563
PhysaRoute,3.5,7,0.9146954688132294
PhysaRoute,3.5,8,0.9099242524496238
PhysaRoute,3.5,9,0.9181925208752582
PhysaRoute,3.5,10,0.917289446834231
PhysaRoute,3.5,11,0.9255831124044129
PhysaRoute,3.5,12,0.9103439038843275
PhysaRoute,3.5,13,0.9151374382623749
PhysaRoute,3.5,14,0.9064808852692634
PhysaRoute,3.5,15,0.9290177031726535
PhysaRoute,3.5,16,0.9219360447070725
PhysaRoute,3.5,17,0.9177252986020739
PhysaRoute,3.5,18,0.9072926089109411
PhysaRoute,3.5,19,0.9202282347152104
PhysaRoute,3.5,20,0.9094371452220946
PhysaRoute,3.5,21,0.9299033398593058
PhysaRoute,3.5,22,0.9211896921533965
PhysaRoute,3.5,23,0.9198709142120076
PhysaRoute,3.5,24,0.8975467510933665
PhysaRoute,3.5,25,0.9256922495143333
PhysaRoute,3.5,26,0.9341175546224434
PhysaRoute,3.5,27,0.9049675927010928
PhysaRoute,3.5,28,0.9035896052411045
PhysaRoute,3.5,29,0.9188942707632947
RL-WBAN,3.5,0,0.8903922384372869
RL-WBAN,3.5,1,0.8825182942593526
RL-WBAN,3.5,2,0.8857052069391673
RL-WBAN,3.5,3,0.8623888690883277
RL-WBAN,3.5,4,0.890695701105288
RL-WBAN,3.5,5,0.8922261183708253
RL-WBAN,3.5,6,0.8877982334484524
RL-WBAN,3.5,7,0.8874028639807773
RL-WBAN,3.5,8,0.8869390146383611
RL-WBAN,3.5,9,0.878096426486155
RL-WBAN,3.5,10,0.8695512028148885
RL-WBAN,3.5,11,0.8754691210046215
RL-WBAN,3.5,12,0.8747555306756407
RL-WBAN,3.5,13,0.8862424598617231
RL-WBAN,3.5,14,0.877487029621529
RL-WBAN,3.5,15,0.8895097415382165
RL-WBAN,3.5,16,0.8832801863592994
RL-WBAN,3.5,17,0.8876115242286979
RL-WBAN,3.5,18,0.8864262780036967
RL-WBAN,3.5,19,0.8842873998198183
RL-WBAN,3.5,20,0.8775631338650567
RL-WBAN,3.5,21,0.8929032637837321
RL-WBAN,3.5,22,0.8883147996260605
RL-WBAN,3.5,23,0.8832309644472377
RL-WBAN,3.5,24,0.8723739794363676
RL-WBAN,3.5,25,0.8983105574169153
RL-WBAN,3.5,26,0.8955614692139742
RL-WBAN,3.5,27,0.8808930874986406
RL-WBAN,3.5,28,0.8748026970287003
RL-WBAN,3.5,29,0.8793054103041215
PZ-2021,3.5,0,0.8654492655583385
PZ-2021,3.5,1,0.8556581753101871
PZ-2021,3.5,2,0.8604688022776688
PZ-2021,3.5,3,0.8723343326537389
PZ-2021,3.5,4,0.8742173284980924
PZ-2021,3.5,5,0.871522571995935
PZ-2021,3.5,6,0.8635211397047035
PZ-2021,3.5,7,0.8560751034711089
PZ-2021,3.5,8,0.8668237257728063
PZ-2021,3.5,9,0.871100243713568
PZ-2021,3.5,10,0.8497252143768567
