protocol,seed_offset,lifetime_first_death_s
PhysaRoute,0,1299.3842929637003
PhysaRoute,1,1349.7590425636636
PhysaRoute,2,1357.2519714806033
PhysaRoute,3,1307.4009392770024
PhysaRoute,4,1324.6651671654145
PhysaRoute,5,1367.6877657975056
PhysaRoute,6,1394.0715360819165
PhysaRoute,7,1367.0514294199397
PhysaRoute,8,1352.7637426398428
PhysaRoute,9,1362.908278206581
PhysaRoute,10,1299.8919303368457
PhysaRoute,11,1286.2890241816815
PhysaRoute,12,1316.6533834222364
PhysaRoute,13,1318.447324400113
PhysaRoute,14,1329.4924726981703
PhysaRoute,15,1333.3662920003708
PhysaRoute,16,1333.4662728609412
PhysaRoute,17,1316.67528210479
PhysaRoute,18,1362.950372029201
PhysaRoute,19,1352.7755405861797
PhysaRoute,20,1307.1214988172212
PhysaRoute,21,1310.5927117342817
PhysaRoute,22,1316.7331509198682
PhysaRoute,23,1304.8392471797442
PhysaRoute,24,1305.0870046221455
PhysaRoute,25,1299.9995981490263
PhysaRoute,26,1295.201461039597
PhysaRoute,27,1297.4810273523242
PhysaRoute,28,1307.8976643383621
PhysaRoute,29,1298.554630445848
RL-WBAN,0,1277.3647535881942
RL-WBAN,1,1321.0854873343524
RL-WBAN,2,1304.116835026592
RL-WBAN,3,1322.4687933691873
RL-WBAN,4,1261.4437171031368
RL-WBAN,5,1280.0491365264872
RL-WBAN,6,1254.862422394085
RL-WBAN,7,1255.4727279005767
RL-WBAN,8,1274.0515850894344
RL-WBAN,9,1280.905255891782
RL-WBAN,10,1225.737157300928
RL-WBAN,11,1259.0271876866605
RL-WBAN,12,1267.6569982332537
RL-WBAN,13,1267.975528331113
RL-WBAN,14,1275.6460717169778
RL-WBAN,15,1276.9684813995368
RL-WBAN,16,1279.0962088311676
RL-WBAN,17,1311.2272137426003
RL-WBAN,18,1284.5695559652208
RL-WBAN,19,1295.0842354928284
RL-WBAN,20,1248.36118676741
RL-WBAN,21,1263.9829965664808
RL-WBAN,22,1242.991490882432
RL-WBAN,23,1335.9492474899453
RL-WBAN,24,1318.2471333616065
RL-WBAN,25,1339.7082494834413
RL-WBAN,26,1262.066492717816
RL-WBAN,27,1309.457714639088
RL-WBAN,28,1222.424845415589
RL-WBAN,29,1281.0457911104827
PZ-2021,0,1298.5996556324824
PZ-2021,1,1323.1412618976383
PZ-2021,2,1316.7901683231596
PZ-2021,3,1357.3135056531503
PZ-2021,4,1286.4034168434512
PZ-2021,5,1316.9063374033158
PZ-2021,6,1344.7573435650997
PZ-2021,7,1316.8925639964623
PZ-2021,8,1352.5722033663237
PZ-2021,9,1345.399398707249
PZ-2021,10,1245.2064338759708
PZ-2021,11,1339.9066951136658
PZ-2021,12,1280.0573213658681
PZ-2021,13,1343.7424429387436
PZ-2021,14,1324.7040894487309
